datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2018 5:00,1/1/2018 0:00,SERC,SOUTH,DOM,DOM,16747.941,TRUE
1/1/2018 6:00,1/1/2018 1:00,SERC,SOUTH,DOM,DOM,16806.026,TRUE
1/1/2018 7:00,1/1/2018 2:00,SERC,SOUTH,DOM,DOM,16939.452,TRUE
1/1/2018 8:00,1/1/2018 3:00,SERC,SOUTH,DOM,DOM,17158.701,TRUE
1/1/2018 9:00,1/1/2018 4:00,SERC,SOUTH,DOM,DOM,17482.735,TRUE
1/1/2018 10:00,1/1/2018 5:00,SERC,SOUTH,DOM,DOM,17916.559,TRUE
1/1/2018 11:00,1/1/2018 6:00,SERC,SOUTH,DOM,DOM,18244.035,TRUE
1/1/2018 12:00,1/1/2018 7:00,SERC,SOUTH,DOM,DOM,18475.872,TRUE
1/1/2018 13:00,1/1/2018 8:00,SERC,SOUTH,DOM,DOM,18208.087,TRUE
1/1/2018 14:00,1/1/2018 9:00,SERC,SOUTH,DOM,DOM,17426.237,TRUE
1/1/2018 15:00,1/1/2018 10:00,SERC,SOUTH,DOM,DOM,16830.886,TRUE
1/1/2018 16:00,1/1/2018 11:00,SERC,SOUTH,DOM,DOM,16343.86,TRUE
1/1/2018 17:00,1/1/2018 12:00,SERC,SOUTH,DOM,DOM,16060.57,TRUE
1/1/2018 18:00,1/1/2018 13:00,SERC,SOUTH,DOM,DOM,15700.327,TRUE
1/1/2018 19:00,1/1/2018 14:00,SERC,SOUTH,DOM,DOM,15489.136,TRUE
1/1/2018 20:00,1/1/2018 15:00,SERC,SOUTH,DOM,DOM,15657.922,TRUE
1/1/2018 21:00,1/1/2018 16:00,SERC,SOUTH,DOM,DOM,16421.22,TRUE
1/1/2018 22:00,1/1/2018 17:00,SERC,SOUTH,DOM,DOM,17800.924,TRUE
1/1/2018 23:00,1/1/2018 18:00,SERC,SOUTH,DOM,DOM,18248.977,TRUE
1/2/2018 0:00,1/1/2018 19:00,SERC,SOUTH,DOM,DOM,18418.013,TRUE
1/2/2018 1:00,1/1/2018 20:00,SERC,SOUTH,DOM,DOM,18567.198,TRUE
1/2/2018 2:00,1/1/2018 21:00,SERC,SOUTH,DOM,DOM,18306.663,TRUE
1/2/2018 3:00,1/1/2018 22:00,SERC,SOUTH,DOM,DOM,17813.988,TRUE
1/2/2018 4:00,1/1/2018 23:00,SERC,SOUTH,DOM,DOM,17428.349,TRUE
1/2/2018 5:00,1/2/2018 0:00,SERC,SOUTH,DOM,DOM,17188.468,TRUE
1/2/2018 6:00,1/2/2018 1:00,SERC,SOUTH,DOM,DOM,17260.539,TRUE
1/2/2018 7:00,1/2/2018 2:00,SERC,SOUTH,DOM,DOM,17495.292,TRUE
1/2/2018 8:00,1/2/2018 3:00,SERC,SOUTH,DOM,DOM,17809.026,TRUE
1/2/2018 9:00,1/2/2018 4:00,SERC,SOUTH,DOM,DOM,18282.278,TRUE
1/2/2018 10:00,1/2/2018 5:00,SERC,SOUTH,DOM,DOM,19142.605,TRUE
1/2/2018 11:00,1/2/2018 6:00,SERC,SOUTH,DOM,DOM,20096.768,TRUE
1/2/2018 12:00,1/2/2018 7:00,SERC,SOUTH,DOM,DOM,20634.146,TRUE
1/2/2018 13:00,1/2/2018 8:00,SERC,SOUTH,DOM,DOM,20088.439,TRUE
1/2/2018 14:00,1/2/2018 9:00,SERC,SOUTH,DOM,DOM,18967.085,TRUE
1/2/2018 15:00,1/2/2018 10:00,SERC,SOUTH,DOM,DOM,17931.756,TRUE
1/2/2018 16:00,1/2/2018 11:00,SERC,SOUTH,DOM,DOM,17028.077,TRUE
1/2/2018 17:00,1/2/2018 12:00,SERC,SOUTH,DOM,DOM,16261.69,TRUE
1/2/2018 18:00,1/2/2018 13:00,SERC,SOUTH,DOM,DOM,15659.023,TRUE
1/2/2018 19:00,1/2/2018 14:00,SERC,SOUTH,DOM,DOM,15266.207,TRUE
1/2/2018 20:00,1/2/2018 15:00,SERC,SOUTH,DOM,DOM,15323.001,TRUE
1/2/2018 21:00,1/2/2018 16:00,SERC,SOUTH,DOM,DOM,16112.786,TRUE
1/2/2018 22:00,1/2/2018 17:00,SERC,SOUTH,DOM,DOM,17621.889,TRUE
1/2/2018 23:00,1/2/2018 18:00,SERC,SOUTH,DOM,DOM,18301.531,TRUE
1/3/2018 0:00,1/2/2018 19:00,SERC,SOUTH,DOM,DOM,18508.315,TRUE
1/3/2018 1:00,1/2/2018 20:00,SERC,SOUTH,DOM,DOM,18651.499,TRUE
1/3/2018 2:00,1/2/2018 21:00,SERC,SOUTH,DOM,DOM,18418.739,TRUE
1/3/2018 3:00,1/2/2018 22:00,SERC,SOUTH,DOM,DOM,17884.973,TRUE
1/3/2018 4:00,1/2/2018 23:00,SERC,SOUTH,DOM,DOM,17498.949,TRUE
1/3/2018 5:00,1/3/2018 0:00,SERC,SOUTH,DOM,DOM,17407.072,TRUE
1/3/2018 6:00,1/3/2018 1:00,SERC,SOUTH,DOM,DOM,17518.542,TRUE
1/3/2018 7:00,1/3/2018 2:00,SERC,SOUTH,DOM,DOM,17732.024,TRUE
1/3/2018 8:00,1/3/2018 3:00,SERC,SOUTH,DOM,DOM,18126.701,TRUE
1/3/2018 9:00,1/3/2018 4:00,SERC,SOUTH,DOM,DOM,18686.366,TRUE
1/3/2018 10:00,1/3/2018 5:00,SERC,SOUTH,DOM,DOM,19563.302,TRUE
1/3/2018 11:00,1/3/2018 6:00,SERC,SOUTH,DOM,DOM,20610.015,TRUE
1/3/2018 12:00,1/3/2018 7:00,SERC,SOUTH,DOM,DOM,20891.988,TRUE
1/3/2018 13:00,1/3/2018 8:00,SERC,SOUTH,DOM,DOM,20252.049,TRUE
1/3/2018 14:00,1/3/2018 9:00,SERC,SOUTH,DOM,DOM,18805.097,TRUE
1/3/2018 15:00,1/3/2018 10:00,SERC,SOUTH,DOM,DOM,17268.947,TRUE
1/3/2018 16:00,1/3/2018 11:00,SERC,SOUTH,DOM,DOM,16327.627,TRUE
1/3/2018 17:00,1/3/2018 12:00,SERC,SOUTH,DOM,DOM,15587.808,TRUE
1/3/2018 18:00,1/3/2018 13:00,SERC,SOUTH,DOM,DOM,15111.577,TRUE
1/3/2018 19:00,1/3/2018 14:00,SERC,SOUTH,DOM,DOM,14871.47,TRUE
1/3/2018 20:00,1/3/2018 15:00,SERC,SOUTH,DOM,DOM,15217.416,TRUE
1/3/2018 21:00,1/3/2018 16:00,SERC,SOUTH,DOM,DOM,15724.522,TRUE
1/3/2018 22:00,1/3/2018 17:00,SERC,SOUTH,DOM,DOM,16595.811,TRUE
1/3/2018 23:00,1/3/2018 18:00,SERC,SOUTH,DOM,DOM,16624.224,TRUE
1/4/2018 0:00,1/3/2018 19:00,SERC,SOUTH,DOM,DOM,16402.489,TRUE
1/4/2018 1:00,1/3/2018 20:00,SERC,SOUTH,DOM,DOM,16107.568,TRUE
1/4/2018 2:00,1/3/2018 21:00,SERC,SOUTH,DOM,DOM,15586.301,TRUE
1/4/2018 3:00,1/3/2018 22:00,SERC,SOUTH,DOM,DOM,15003.595,TRUE
1/4/2018 4:00,1/3/2018 23:00,SERC,SOUTH,DOM,DOM,14659.793,TRUE
1/4/2018 5:00,1/4/2018 0:00,SERC,SOUTH,DOM,DOM,14418.932,TRUE
1/4/2018 6:00,1/4/2018 1:00,SERC,SOUTH,DOM,DOM,14561.929,TRUE
1/4/2018 7:00,1/4/2018 2:00,SERC,SOUTH,DOM,DOM,14671.16,TRUE
1/4/2018 8:00,1/4/2018 3:00,SERC,SOUTH,DOM,DOM,14933.1,TRUE
1/4/2018 9:00,1/4/2018 4:00,SERC,SOUTH,DOM,DOM,15369.792,TRUE
1/4/2018 10:00,1/4/2018 5:00,SERC,SOUTH,DOM,DOM,16171.093,TRUE
1/4/2018 11:00,1/4/2018 6:00,SERC,SOUTH,DOM,DOM,17062.197,TRUE
1/4/2018 12:00,1/4/2018 7:00,SERC,SOUTH,DOM,DOM,17444.501,TRUE
1/4/2018 13:00,1/4/2018 8:00,SERC,SOUTH,DOM,DOM,17416.267,TRUE
1/4/2018 14:00,1/4/2018 9:00,SERC,SOUTH,DOM,DOM,17450.204,TRUE
1/4/2018 15:00,1/4/2018 10:00,SERC,SOUTH,DOM,DOM,17411,TRUE
1/4/2018 16:00,1/4/2018 11:00,SERC,SOUTH,DOM,DOM,17393.703,TRUE
1/4/2018 17:00,1/4/2018 12:00,SERC,SOUTH,DOM,DOM,17102.444,TRUE
1/4/2018 18:00,1/4/2018 13:00,SERC,SOUTH,DOM,DOM,16884.829,TRUE
1/4/2018 19:00,1/4/2018 14:00,SERC,SOUTH,DOM,DOM,16495.755,TRUE
1/4/2018 20:00,1/4/2018 15:00,SERC,SOUTH,DOM,DOM,16371.32,TRUE
1/4/2018 21:00,1/4/2018 16:00,SERC,SOUTH,DOM,DOM,16888.797,TRUE
1/4/2018 22:00,1/4/2018 17:00,SERC,SOUTH,DOM,DOM,18252.957,TRUE
1/4/2018 23:00,1/4/2018 18:00,SERC,SOUTH,DOM,DOM,18647.059,TRUE
1/5/2018 0:00,1/4/2018 19:00,SERC,SOUTH,DOM,DOM,18665.9,TRUE
1/5/2018 1:00,1/4/2018 20:00,SERC,SOUTH,DOM,DOM,18678.199,TRUE
1/5/2018 2:00,1/4/2018 21:00,SERC,SOUTH,DOM,DOM,18496.16,TRUE
1/5/2018 3:00,1/4/2018 22:00,SERC,SOUTH,DOM,DOM,18009.713,TRUE
1/5/2018 4:00,1/4/2018 23:00,SERC,SOUTH,DOM,DOM,17719.204,TRUE
1/5/2018 5:00,1/5/2018 0:00,SERC,SOUTH,DOM,DOM,17600.609,TRUE
1/5/2018 6:00,1/5/2018 1:00,SERC,SOUTH,DOM,DOM,17650.829,TRUE
1/5/2018 7:00,1/5/2018 2:00,SERC,SOUTH,DOM,DOM,17829.737,TRUE
1/5/2018 8:00,1/5/2018 3:00,SERC,SOUTH,DOM,DOM,17984.575,TRUE
1/5/2018 9:00,1/5/2018 4:00,SERC,SOUTH,DOM,DOM,18474.4,TRUE
1/5/2018 10:00,1/5/2018 5:00,SERC,SOUTH,DOM,DOM,19208.456,TRUE
1/5/2018 11:00,1/5/2018 6:00,SERC,SOUTH,DOM,DOM,19921.812,TRUE
1/5/2018 12:00,1/5/2018 7:00,SERC,SOUTH,DOM,DOM,20313.116,TRUE
1/5/2018 13:00,1/5/2018 8:00,SERC,SOUTH,DOM,DOM,20046.961,TRUE
1/5/2018 14:00,1/5/2018 9:00,SERC,SOUTH,DOM,DOM,19260.182,TRUE
1/5/2018 15:00,1/5/2018 10:00,SERC,SOUTH,DOM,DOM,18563.243,TRUE
1/5/2018 16:00,1/5/2018 11:00,SERC,SOUTH,DOM,DOM,17986.507,TRUE
1/5/2018 17:00,1/5/2018 12:00,SERC,SOUTH,DOM,DOM,17455.271,TRUE
1/5/2018 18:00,1/5/2018 13:00,SERC,SOUTH,DOM,DOM,17014.565,TRUE
1/5/2018 19:00,1/5/2018 14:00,SERC,SOUTH,DOM,DOM,16752.357,TRUE
