model,n,mae,mse,rmse,r2,bias,split,season,season_year
seasonal_naive_24h,2208,9.255971691576086,359.37506202676616,18.957190246098342,0.6074030900107072,-0.0695443310688409,test,summer,2024
seasonal_naive_24h,2089,20.702886038774537,2569.623792312801,50.691456798091735,0.4336499399135436,-0.06455851268549526,test,summer,2025
seasonal_naive_24h,2183,9.827101427393494,381.532043689883,19.532845253313276,0.5267260951479029,0.06033047274393027,test,winter,2024
seasonal_naive_24h,2903,15.646124050292801,882.48209529649,29.70660019754011,0.5273153297977233,-0.12624346606958334,test,winter,2025
seasonal_naive_24h,2137,6.391711203244424,265.3834091147805,16.29059265695329,0.47800710841223404,-0.18174274637342067,validation,summer,2023
seasonal_naive_24h,2159,7.072790225335804,287.5503120848734,16.957308515353294,-0.15773130855922113,0.01433737725798977,validation,winter,2023
seasonal_naive_24h,744,6.905132313172044,109.83173084120041,10.480063494139738,0.2636829381728466,0.6408809690860217,validation,winter,2024
seasonal_naive_168h,2208,16.912921156702897,936.6808410690071,30.605242052122495,-0.023270790621735093,0.0662119483695651,test,summer,2024
seasonal_naive_168h,2089,37.673133932024896,6938.465241820961,83.2974503920796,-0.5292511761327663,-0.030895914791766337,test,summer,2025
seasonal_naive_168h,2183,18.10940976133761,1312.240144605969,36.22485534278873,-0.6277768214041513,0.02928379523591389,test,winter,2024
seasonal_naive_168h,2903,31.929833570099895,3525.2612695116018,59.373910680631454,-0.888238831628767,-0.9975413572166719,test,winter,2025
seasonal_naive_168h,2137,8.714752147636872,578.0376225736916,24.042412993992336,-0.1369645565268085,-0.793676960224614,validation,summer,2023
seasonal_naive_168h,2159,18.232061454145438,2922.044819800771,54.05594157722878,-10.76469866566561,9.740288708893006,validation,winter,2023
seasonal_naive_168h,744,8.18897989247312,183.30329507584872,13.538954726117106,-0.2288738656830358,3.6614727688172044,validation,winter,2024
dmdc,2208,13.994641854713699,745.9416965977335,27.311933227029783,0.18510092641144626,-10.647448176688714,test,summer,2024
dmdc,2089,36.008160359323725,5264.304409130755,72.55552638587054,-0.16026288647535547,-34.95269742068509,test,summer,2025
dmdc,2183,11.670358787877854,369.603637135528,19.225078338865828,0.5415227646334982,-3.336886163596733,test,winter,2024
dmdc,2903,18.891130690869723,1117.3646510569065,33.42700481731659,0.4015049773864613,-12.263365125811562,test,winter,2025
dmdc,2137,8.557510499262582,378.34680291350264,19.45113885903606,0.2558150400789073,-5.569483923221858,validation,summer,2023
dmdc,2159,8.92141150399111,223.80220913253032,14.960020358693711,0.09893047043199876,-0.29656505876520634,validation,winter,2023
dmdc,744,8.443583701040989,153.12365558468414,12.374314348063255,-0.02654815063747873,-0.2303283644669775,validation,winter,2024
dmdc_residual_24h,2208,8.952099648254423,335.9580915029925,18.329159596200597,0.6329848046046351,-0.0845013413608273,test,summer,2024
dmdc_residual_24h,2089,19.902245484318193,2524.9207763674412,50.248589794813554,0.44350257119849656,-0.08415823989242398,test,summer,2025
dmdc_residual_24h,2183,9.433431954587128,297.40786597295244,17.245517271829,0.631078478490375,-0.16684425984924484,test,winter,2024
dmdc_residual_24h,2903,14.764177304029806,789.5096773594012,28.0982148429291,0.5771142287722528,-0.30405357628065083,test,winter,2025
dmdc_residual_24h,2137,6.458426049356481,256.2757812138256,16.00861584315851,0.4959212539851725,-0.10753460959208526,validation,summer,2023
dmdc_residual_24h,2159,7.16672912784637,251.95497287717853,15.873089581967921,-0.014417819031967927,-0.08639567312588987,validation,winter,2023
dmdc_residual_24h,744,6.322154271718965,89.0728365424001,9.43784067159433,0.4028515367172235,0.13501818741636795,validation,winter,2024
