event_id,start_utc,end_utc,start_eastern,end_eastern,duration_hours,mean_lmp,max_lmp,peak_utc,peak_eastern,mean_price_premium_vs_normal,max_price_premium_vs_normal,mean_load_mw,max_load_mw,mean_temp_c,min_temp_c,max_temp_c,sum_precip_1h_mm,max_wind_speed_ms,mean_hdd,mean_cdd
summer_heat_price_001,2018-07-02 17:00:00+00:00,2018-07-02 22:00:00+00:00,2018-07-02 13:00:00-04:00,2018-07-02 18:00:00-04:00,6,120.33445283333333,145.328416,2018-07-02 20:00:00+00:00,2018-07-02 16:00:00-04:00,63.74115566666668,82.2280645,19049.9215,19244.089,33.13888888888888,32.23333333333333,34.05,0.05000000000000011,3.95,0.0,14.838888888888889
summer_heat_price_002,2021-08-25 17:00:00+00:00,2021-08-25 22:00:00+00:00,2021-08-25 13:00:00-04:00,2021-08-25 18:00:00-04:00,6,132.22719083333334,161.661234,2021-08-25 20:00:00+00:00,2021-08-25 16:00:00-04:00,82.9914215,106.76752100000002,19379.368166666663,19698.135,32.34166666666667,31.399999999999995,32.95,0.1333333333333332,3.933333333333333,0.0,14.041666666666664
summer_heat_price_003,2022-06-01 15:00:00+00:00,2022-06-01 23:00:00+00:00,2022-06-01 11:00:00-04:00,2022-06-01 19:00:00-04:00,9,172.42710366666665,206.430291,2022-06-01 20:00:00+00:00,2022-06-01 16:00:00-04:00,130.02723327777778,155.88439950000003,18626.78377777778,19287.026,31.68333333333333,30.38333333333333,32.95,2.8,3.6166666666666663,0.0,13.383333333333333
summer_heat_price_004,2022-06-13 16:00:00+00:00,2022-06-13 23:00:00+00:00,2022-06-13 12:00:00-04:00,2022-06-13 19:00:00-04:00,8,174.553898625,215.560051,2022-06-13 21:00:00+00:00,2022-06-13 17:00:00-04:00,130.8833319375,163.182946,18883.576999999997,19417.807,32.172916666666666,31.11666666666667,33.050000000000004,0.0,3.6,0.0,13.872916666666665
summer_heat_price_005,2022-06-17 15:00:00+00:00,2022-06-17 22:00:00+00:00,2022-06-17 11:00:00-04:00,2022-06-17 18:00:00-04:00,8,172.306953625,203.885446,2022-06-17 20:00:00+00:00,2022-06-17 16:00:00-04:00,129.7857195625,153.33955450000002,19216.09225,19884.641,33.71458333333333,31.683333333333334,35.4,0.0166666666666666,6.083333333333333,0.0,15.414583333333333
summer_heat_price_006,2022-07-01 16:00:00+00:00,2022-07-01 21:00:00+00:00,2022-07-01 12:00:00-04:00,2022-07-01 17:00:00-04:00,6,150.63567683333332,177.824672,2022-07-01 20:00:00+00:00,2022-07-01 16:00:00-04:00,95.95989433333334,114.72432049999999,18594.4745,18888.612,31.902777777777775,31.316666666666663,32.416666666666664,0.0,4.733333333333333,0.0,13.602777777777776
summer_heat_price_007,2022-07-06 17:00:00+00:00,2022-07-06 23:00:00+00:00,2022-07-06 13:00:00-04:00,2022-07-06 19:00:00-04:00,7,178.1078242857143,196.514871,2022-07-06 20:00:00+00:00,2022-07-06 16:00:00-04:00,122.54612228571428,137.42391800000001,18978.571142857145,19651.971,32.226190476190474,30.73333333333333,33.15,0.016666666666666698,3.45,0.0,13.926190476190474
summer_heat_price_008,2022-07-18 17:00:00+00:00,2022-07-18 23:00:00+00:00,2022-07-18 13:00:00-04:00,2022-07-18 19:00:00-04:00,7,137.58556285714286,154.726383,2022-07-18 21:00:00+00:00,2022-07-18 17:00:00-04:00,82.02386085714286,89.05174349999999,19229.61657142857,19817.091,30.452380952380945,28.166666666666668,32.5,3.916666666666667,5.416666666666667,0.0,12.15238095238095
summer_heat_price_009,2022-07-19 18:00:00+00:00,2022-07-19 23:00:00+00:00,2022-07-19 14:00:00-04:00,2022-07-19 19:00:00-04:00,6,173.62153616666663,208.000026,2022-07-19 21:00:00+00:00,2022-07-19 17:00:00-04:00,116.66196416666666,142.32538649999998,18804.218666666668,19135.777,30.672222222222217,30.016666666666666,31.4,-0.0166666666666666,3.85,0.0,12.372222222222222
summer_heat_price_010,2022-07-20 16:00:00+00:00,2022-07-21 00:00:00+00:00,2022-07-20 12:00:00-04:00,2022-07-20 20:00:00-04:00,9,256.67364644444444,339.852114,2022-07-20 20:00:00+00:00,2022-07-20 16:00:00-04:00,203.6749495,276.7517625,19554.063555555556,20174.053,32.36851851851852,30.950000000000003,33.23333333333333,0.0,5.133333333333334,0.0,14.068518518518518
